City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
305,Nome,US,64.5011,-165.4064,24.8,58,1,18.41,clear sky
306,College,US,64.8569,-147.8028,17.6,67,90,6.91,overcast clouds
307,Constitucion,CL,-35.3333,-72.4167,65.28,51,0,24.14,clear sky
308,Port Macquarie,AU,-31.4333,152.9167,68.0,72,0,1.99,clear sky
309,Champerico,GT,14.3,-91.9167,89.6,58,40,11.5,scattered clouds
310,Varhaug,NO,58.6147,5.6457,19.4,79,0,4.61,clear sky
311,Kokopo,PG,-4.352,152.2633,78.85,77,100,2.77,overcast clouds
312,Pauini,BR,-7.7136,-66.9764,81.86,87,100,0.47,very heavy rain
313,Manakara,MG,-22.1333,48.0167,77.79,91,57,5.01,broken clouds
314,Dulce Nombre De Culmi,HN,15.1,-85.5333,86.0,51,75,3.6,broken clouds
315,Elizabeth City,US,36.2946,-76.2511,59.0,62,1,8.05,clear sky
316,Hudson Bay,CA,52.85,-102.3842,16.14,95,96,4.14,overcast clouds
317,Tilichiki,RU,60.4667,166.1,-27.06,84,0,6.67,clear sky
318,Roald,NO,62.5833,6.1333,26.6,74,0,8.05,clear sky
319,Codrington,AU,-38.2667,141.9667,54.3,73,66,14.65,moderate rain
320,Algiers,DZ,36.7525,3.042,48.2,93,20,2.3,few clouds
321,Castle Rock,US,39.3722,-104.8561,39.99,23,0,1.99,clear sky
322,Komsomolskiy,UZ,40.4272,71.7189,33.8,69,0,4.61,mist
323,Zhigansk,RU,66.7697,123.3711,-39.87,79,91,4.34,overcast clouds
324,Tupik,RU,54.4253,119.9327,-21.46,84,100,1.48,overcast clouds
325,Saldanha,ZA,-33.0117,17.9442,66.2,82,0,2.3,clear sky
326,Shingu,JP,33.7333,135.9833,49.6,76,33,4.18,scattered clouds
327,Gat,IL,31.61,34.7642,54.0,100,0,1.01,clear sky
328,Kifri,IQ,34.6959,44.9661,53.04,59,0,5.06,clear sky
329,Straumen,NO,63.8709,11.2999,33.01,86,75,5.75,broken clouds
330,Alice Springs,AU,-23.7,133.8833,71.6,28,26,12.66,scattered clouds
331,Golpayegan,IR,33.4537,50.2884,36.07,78,0,3.36,clear sky
332,Russell,US,32.3502,-85.1999,59.0,23,1,12.66,clear sky
333,Marawi,PH,7.9986,124.2928,75.0,92,79,4.0,broken clouds
334,Torbat-E Jam,IR,35.244,60.6225,43.9,48,26,1.59,scattered clouds
335,Valparaiso,CL,-33.0393,-71.6273,75.2,49,0,28.77,clear sky
336,Astana,KZ,51.1801,71.446,3.2,66,0,6.71,clear sky
337,Maumere,ID,-8.6199,122.2111,81.37,77,100,4.7,light rain
338,Termini Imerese,IT,37.9837,13.6956,54.0,89,100,7.0,overcast clouds
339,Waipawa,NZ,-41.4122,175.5153,66.2,82,90,11.5,overcast clouds
340,Taft,IR,31.7471,54.2088,44.6,31,0,6.91,clear sky
341,Kananga,CD,-5.8958,22.4178,64.6,93,100,1.61,overcast clouds
342,Muroto,JP,33.2833,134.15,58.71,62,34,10.36,scattered clouds
343,Mawlaik,MM,23.6333,94.4167,66.78,62,98,1.39,overcast clouds
344,Pula,HR,44.8683,13.8481,35.6,51,0,9.22,clear sky
345,Isangel,VU,-19.55,169.2667,80.6,89,75,9.1,broken clouds
